filepath,filename,gray_value
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.58.bmp,2.58.bmp,81.95104895104895
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.581.bmp,2.581.bmp,81.64335664335664
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.583.bmp,2.583.bmp,81.92307692307692
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.584.bmp,2.584.bmp,82.27972027972028
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.585.bmp,2.585.bmp,82.16783216783217
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.587.bmp,2.587.bmp,81.98601398601399
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.588.bmp,2.588.bmp,81.91608391608392
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.589.bmp,2.589.bmp,81.76923076923077
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.59.bmp,2.59.bmp,81.8951048951049
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.592.bmp,2.592.bmp,82.08391608391608
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.593.bmp,2.593.bmp,81.93006993006993
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.594.bmp,2.594.bmp,81.93706293706293
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.595.bmp,2.595.bmp,82.00699300699301
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.596.bmp,2.596.bmp,81.94405594405595
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.598.bmp,2.598.bmp,81.93006993006993
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.599.bmp,2.599.bmp,82.20979020979021
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.6.bmp,2.6.bmp,82.0
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.602.bmp,2.602.bmp,82.12587412587412
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.604.bmp,2.604.bmp,82.04895104895105
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.605.bmp,2.605.bmp,82.02797202797203
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.607.bmp,2.607.bmp,82.0909090909091
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.609.bmp,2.609.bmp,82.2027972027972
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.61.bmp,2.61.bmp,82.15384615384616
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.611.bmp,2.611.bmp,81.75524475524476
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.612.bmp,2.612.bmp,82.17482517482517
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.613.bmp,2.613.bmp,82.2937062937063
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.614.bmp,2.614.bmp,82.05594405594405
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.615.bmp,2.615.bmp,81.95104895104895
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.616.bmp,2.616.bmp,82.04895104895105
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.618.bmp,2.618.bmp,81.91608391608392
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.619.bmp,2.619.bmp,82.01398601398601
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.62.bmp,2.62.bmp,81.95804195804196
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.621.bmp,2.621.bmp,81.91608391608392
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.622.bmp,2.622.bmp,82.34965034965035
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.623.bmp,2.623.bmp,82.1118881118881
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.625.bmp,2.625.bmp,82.39160839160839
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.626.bmp,2.626.bmp,82.18881118881119
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.627.bmp,2.627.bmp,82.31468531468532
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.628.bmp,2.628.bmp,82.18181818181819
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.63.bmp,2.63.bmp,82.2027972027972
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.632.bmp,2.632.bmp,82.13986013986013
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.633.bmp,2.633.bmp,82.43356643356644
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.635.bmp,2.635.bmp,82.61538461538461
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.637.bmp,2.637.bmp,82.4965034965035
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.638.bmp,2.638.bmp,82.39160839160839
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.639.bmp,2.639.bmp,81.98601398601399
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.64.bmp,2.64.bmp,82.44755244755245
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.641.bmp,2.641.bmp,82.45454545454545
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.642.bmp,2.642.bmp,82.3986013986014
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.645.bmp,2.645.bmp,82.04195804195804
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.646.bmp,2.646.bmp,82.2027972027972
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.647.bmp,2.647.bmp,82.41958041958041
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.648.bmp,2.648.bmp,82.33566433566433
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.649.bmp,2.649.bmp,81.95104895104895
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.65.bmp,2.65.bmp,82.18881118881119
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.651.bmp,2.651.bmp,82.36363636363636
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.652.bmp,2.652.bmp,82.24475524475524
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.654.bmp,2.654.bmp,82.25174825174825
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.656.bmp,2.656.bmp,82.3076923076923
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.657.bmp,2.657.bmp,82.16783216783217
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.658.bmp,2.658.bmp,82.2937062937063
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.659.bmp,2.659.bmp,82.1958041958042
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.66.bmp,2.66.bmp,82.1118881118881
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.663.bmp,2.663.bmp,82.46853146853147
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.664.bmp,2.664.bmp,82.53846153846153
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.665.bmp,2.665.bmp,82.2867132867133
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.666.bmp,2.666.bmp,82.4965034965035
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.667.bmp,2.667.bmp,82.25874125874125
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.668.bmp,2.668.bmp,82.65734265734265
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.669.bmp,2.669.bmp,82.68531468531468
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.67.bmp,2.67.bmp,82.51748251748252
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.671.bmp,2.671.bmp,82.74125874125875
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.674.bmp,2.674.bmp,81.98601398601399
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.675.bmp,2.675.bmp,82.21678321678321
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.677.bmp,2.677.bmp,82.4055944055944
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.678.bmp,2.678.bmp,82.2937062937063
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.68.bmp,2.68.bmp,82.4965034965035
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.682.bmp,2.682.bmp,82.55944055944056
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.683.bmp,2.683.bmp,82.60839160839161
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.684.bmp,2.684.bmp,82.57342657342657
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.686.bmp,2.686.bmp,82.34265734265735
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.687.bmp,2.687.bmp,82.51748251748252
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.688.bmp,2.688.bmp,82.3986013986014
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.689.bmp,2.689.bmp,82.44055944055944
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.691.bmp,2.691.bmp,82.58041958041959
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.692.bmp,2.692.bmp,82.3076923076923
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.695.bmp,2.695.bmp,82.48251748251748
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.696.bmp,2.696.bmp,82.54545454545455
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.698.bmp,2.698.bmp,82.24475524475524
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.699.bmp,2.699.bmp,82.86713286713287
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.7.bmp,2.7.bmp,82.6923076923077
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.701.bmp,2.701.bmp,82.78321678321679
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.702.bmp,2.702.bmp,82.25174825174825
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.703.bmp,2.703.bmp,82.61538461538461
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.704.bmp,2.704.bmp,82.82517482517483
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.706.bmp,2.706.bmp,82.47552447552448
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.708.bmp,2.708.bmp,82.6923076923077
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.709.bmp,2.709.bmp,82.37762237762237
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.711.bmp,2.711.bmp,82.45454545454545
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.713.bmp,2.713.bmp,82.61538461538461
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.714.bmp,2.714.bmp,82.72727272727273
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.716.bmp,2.716.bmp,82.48251748251748
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.717.bmp,2.717.bmp,82.36363636363636
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.718.bmp,2.718.bmp,82.72727272727273
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.719.bmp,2.719.bmp,82.4895104895105
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.72.bmp,2.72.bmp,82.64335664335664
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.721.bmp,2.721.bmp,82.5104895104895
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.722.bmp,2.722.bmp,82.55244755244755
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.723.bmp,2.723.bmp,82.52447552447552
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.724.bmp,2.724.bmp,82.45454545454545
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.726.bmp,2.726.bmp,82.52447552447552
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.728.bmp,2.728.bmp,82.52447552447552
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.73.bmp,2.73.bmp,82.35664335664336
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.731.bmp,2.731.bmp,82.60839160839161
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.732.bmp,2.732.bmp,82.48251748251748
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.733.bmp,2.733.bmp,82.55244755244755
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.734.bmp,2.734.bmp,82.34965034965035
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.736.bmp,2.736.bmp,82.5944055944056
E:\ftkpic\layerscan\2025-04-16\10-56-11\2.737.bmp,2.737.bmp,82.5034965034965
