Filename,GrayValue,ROI_Size
4.0.bmp,63.39111111111111,15x15
4.001.bmp,63.16888888888889,15x15
4.002.bmp,63.21333333333333,15x15
4.003.bmp,63.03111111111111,15x15
4.004.bmp,62.98222222222222,15x15
4.005.bmp,62.99111111111111,15x15
4.006.bmp,62.973333333333336,15x15
4.007.bmp,62.88444444444445,15x15
4.008.bmp,62.791111111111114,15x15
4.009.bmp,62.715555555555554,15x15
4.01.bmp,62.52,15x15
4.011.bmp,62.586666666666666,15x15
4.012.bmp,62.45777777777778,15x15
4.013.bmp,62.44,15x15
4.014.bmp,62.586666666666666,15x15
4.015.bmp,62.32,15x15
4.016.bmp,62.24,15x15
4.017.bmp,62.217777777777776,15x15
4.018.bmp,62.275555555555556,15x15
4.019.bmp,61.973333333333336,15x15
4.02.bmp,61.83111111111111,15x15
4.021.bmp,61.8,15x15
4.022.bmp,61.84888888888889,15x15
4.023.bmp,61.6,15x15
4.024.bmp,61.64,15x15
4.025.bmp,61.57333333333333,15x15
4.026.bmp,61.44,15x15
4.027.bmp,61.324444444444445,15x15
4.028.bmp,61.22222222222222,15x15
4.029.bmp,61.13333333333333,15x15
4.03.bmp,61.45333333333333,15x15
4.031.bmp,61.2,15x15
4.032.bmp,61.22222222222222,15x15
4.033.bmp,61.16888888888889,15x15
4.034.bmp,61.14222222222222,15x15
4.035.bmp,61.08444444444444,15x15
4.036.bmp,60.897777777777776,15x15
4.037.bmp,60.84888888888889,15x15
4.038.bmp,60.888888888888886,15x15
4.039.bmp,60.635555555555555,15x15
4.04.bmp,60.724444444444444,15x15
4.041.bmp,60.724444444444444,15x15
4.042.bmp,60.58222222222222,15x15
4.043.bmp,60.54666666666667,15x15
4.044.bmp,60.577777777777776,15x15
4.045.bmp,60.431111111111115,15x15
4.046.bmp,60.55555555555556,15x15
4.047.bmp,60.324444444444445,15x15
4.048.bmp,60.373333333333335,15x15
4.049.bmp,60.30222222222222,15x15
4.05.bmp,60.12,15x15
4.051.bmp,60.346666666666664,15x15
4.052.bmp,60.16888888888889,15x15
4.053.bmp,60.05777777777778,15x15
4.054.bmp,60.257777777777775,15x15
4.055.bmp,60.01777777777778,15x15
4.056.bmp,59.96888888888889,15x15
4.057.bmp,59.77777777777778,15x15
4.058.bmp,59.724444444444444,15x15
4.059.bmp,59.733333333333334,15x15
4.06.bmp,59.76444444444444,15x15
4.061.bmp,59.528888888888886,15x15
4.062.bmp,59.595555555555556,15x15
4.063.bmp,59.65777777777778,15x15
4.064.bmp,59.72888888888889,15x15
4.065.bmp,59.55111111111111,15x15
